Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API Automation New Suite,,,,2023-06-13 23:54:15,2023-06-13 23:54:24,8.945s,PASSED
,,,,,,,
Test Cases/APIDeleteRequestDeleteSecond,,,,2023-06-13 23:54:15,2023-06-13 23:54:20,4.472s,PASSED
"requestObject = findTestObject(""APIDeleteRequestDeleteSecond"")",,,,2023-06-13 23:54:16,2023-06-13 23:54:16,0.176s,PASSED
jsonslurper = new groovy.json.JsonSlurper(),,,,2023-06-13 23:54:16,2023-06-13 23:54:16,0.022s,PASSED
"conTentType = new com.kms.katalon.core.testobject.TestObjectProperty(Content-Type, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,,2023-06-13 23:54:16,2023-06-13 23:54:16,0.028s,PASSED
"acceptHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Accept, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,,2023-06-13 23:54:16,2023-06-13 23:54:16,0.019s,PASSED
"requestObject.setHttpHeaderProperties(Arrays.asList(conTentType, acceptHeader))",,,,2023-06-13 23:54:16,2023-06-13 23:54:16,0.221s,PASSED
responseObject = sendRequest(requestObject),,,,2023-06-13 23:54:16,2023-06-13 23:54:20,3.433s,PASSED
"Assert.assertEquals(204, responseObject.getStatusCode())",,,,2023-06-13 23:54:20,2023-06-13 23:54:20,0.070s,PASSED
"println(""Status Code "" + responseObject.getStatusCode())",,,,2023-06-13 23:54:20,2023-06-13 23:54:20,0.025s,PASSED
,,,,,,,
Test Cases/APIGetRequestDelayedResponse,,,,2023-06-13 23:54:20,2023-06-13 23:54:21,1.216s,PASSED
"requestObject = findTestObject(""APIGetRequestDelayedResponse"")",,,,2023-06-13 23:54:20,2023-06-13 23:54:20,0.105s,PASSED
jsonslurper = new groovy.json.JsonSlurper(),,,,2023-06-13 23:54:20,2023-06-13 23:54:20,0.019s,PASSED
"conTentType = new com.kms.katalon.core.testobject.TestObjectProperty(Content-Type, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,,2023-06-13 23:54:20,2023-06-13 23:54:20,0.015s,PASSED
"acceptHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Accept, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,,2023-06-13 23:54:20,2023-06-13 23:54:20,0.018s,PASSED
"requestObject.setHttpHeaderProperties(Arrays.asList(conTentType, acceptHeader))",,,,2023-06-13 23:54:20,2023-06-13 23:54:20,0.016s,PASSED
responseObject = sendRequest(requestObject),,,,2023-06-13 23:54:20,2023-06-13 23:54:21,0.560s,PASSED
