Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Web Automation New Suite,Chrome 114.0.0.0,,,2023-06-13 23:55:32,2023-06-13 23:57:11,1m - 38.321s,PASSED
,,,,,,,
Test Cases/Tricentis Sample App Auto Insurance Automation,Chrome 114.0.0.0,,,2023-06-13 23:55:33,2023-06-13 23:56:26,53.496s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-13 23:55:34,2023-06-13 23:55:38,4.043s,PASSED
"navigateToUrl(""http://sampleapp.tricentis.com/101/"")",Chrome 114.0.0.0,,,2023-06-13 23:55:38,2023-06-13 23:55:41,2.813s,PASSED
"click(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Tricentis Vehicle Insurance/a_Automobile""))",Chrome 114.0.0.0,,,2023-06-13 23:55:41,2023-06-13 23:55:43,1.972s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_Engine Performance kW_kW""), ""4324"")",Chrome 114.0.0.0,,,2023-06-13 23:55:43,2023-06-13 23:55:44,1.004s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_Date of Manufacture_Date of Manufacture""), """")",Chrome 114.0.0.0,,,2023-06-13 23:55:44,2023-06-13 23:55:44,0.899s,PASSED
"click(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_Date of Manufacture_Date of Manufacture""))",Chrome 114.0.0.0,,,2023-06-13 23:55:44,2023-06-13 23:55:45,0.473s,PASSED
"takeScreenshotAsCheckpoint(""full_view"", CONTINUE_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-13 23:55:45,2023-06-13 23:55:46,0.840s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_Engine Performance kW_kW""), ""2000"")",Chrome 114.0.0.0,,,2023-06-13 23:55:46,2023-06-13 23:55:47,1.094s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_Date of Manufacture_Date of Manufacture""), ""04/04/2020"")",Chrome 114.0.0.0,,,2023-06-13 23:55:47,2023-06-13 23:55:48,1.095s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/select_please select                       _9e925e""), ""default"", true)",Chrome 114.0.0.0,,,2023-06-13 23:55:48,2023-06-13 23:55:49,1.504s,PASSED
"takeScreenshotAsCheckpoint(""full_view"", CONTINUE_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-13 23:55:49,2023-06-13 23:55:50,0.513s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/select_please select                       _9e925e""), ""4"", true)",Chrome 114.0.0.0,,,2023-06-13 23:55:50,2023-06-13 23:55:51,1.385s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/select_please select                       _b55154""), ""Diesel"", true)",Chrome 114.0.0.0,,,2023-06-13 23:55:51,2023-06-13 23:55:53,1.333s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_List Price_List Price""), ""5000"")",Chrome 114.0.0.0,,,2023-06-13 23:55:53,2023-06-13 23:55:54,0.895s,PASSED
"takeScreenshotAsCheckpoint(""full_view"", CONTINUE_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-13 23:55:54,2023-06-13 23:55:54,0.804s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_License Plate Number_License Plate Number""), ""LIC4638"")",Chrome 114.0.0.0,,,2023-06-13 23:55:54,2023-06-13 23:55:56,1.149s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_Annual Mileage mi_Annual Mileage""), ""450"")",Chrome 114.0.0.0,,,2023-06-13 23:55:56,2023-06-13 23:55:56,0.910s,PASSED
"click(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/button_Next""))",Chrome 114.0.0.0,,,2023-06-13 23:55:56,2023-06-13 23:55:57,0.545s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Insurant Data/input_First Name_First Name""), ""first name"")",Chrome 114.0.0.0,,,2023-06-13 23:55:57,2023-06-13 23:55:59,2.144s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Insurant Data/input_Last Name_Last Name""), ""lastname"")",Chrome 114.0.0.0,,,2023-06-13 23:55:59,2023-06-13 23:56:00,1.360s,PASSED
"click(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Insurant Data/input_Last Name_Last Name""))",Chrome 114.0.0.0,,,2023-06-13 23:56:00,2023-06-13 23:56:01,0.573s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Insurant Data/input_First Name_First Name""), ""firstname"")",Chrome 114.0.0.0,,,2023-06-13 23:56:01,2023-06-13 23:56:02,1.382s,PASSED
"click(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Insurant Data/span_Male_ideal-radio""))",Chrome 114.0.0.0,,,2023-06-13 23:56:02,2023-06-13 23:56:03,0.888s,PASSED
"click(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Insurant Data/button_Date of Birth_Open Date of Birth Calender""))",Chrome 114.0.0.0,,,2023-06-13 23:56:03,2023-06-13 23:56:04,0.693s,PASSED
"click(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Insurant Data/a_6""))",Chrome 114.0.0.0,,,2023-06-13 23:56:04,2023-06-13 23:56:05,0.667s,PASSED
"click(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Insurant Data/button_Date of Birth_Open Date of Birth Calender""))",Chrome 114.0.0.0,,,2023-06-13 23:56:05,2023-06-13 23:56:05,0.562s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Insurant Data/input_Date of Birth_Date of Birth""), ""06/06/2000"")",Chrome 114.0.0.0,,,2023-06-13 23:56:05,2023-06-13 23:56:07,1.304s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Insurant Data/input_Street Address_Street Address""), ""street address"")",Chrome 114.0.0.0,,,2023-06-13 23:56:07,2023-06-13 23:56:08,1.056s,PASSED
