Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Web Automation New Suite,Chrome 114.0.0.0,,,2023-06-14 00:00:26,2023-06-14 00:02:01,1m - 34.865s,PASSED
,,,,,,,
Test Cases/Tricentis Sample App Auto Insurance Automation,Chrome 114.0.0.0,,,2023-06-14 00:00:27,2023-06-14 00:01:21,53.680s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-14 00:00:28,2023-06-14 00:00:32,4.296s,PASSED
"navigateToUrl(""http://sampleapp.tricentis.com/101/"")",Chrome 114.0.0.0,,,2023-06-14 00:00:32,2023-06-14 00:00:35,2.964s,PASSED
"click(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Tricentis Vehicle Insurance/a_Automobile""))",Chrome 114.0.0.0,,,2023-06-14 00:00:35,2023-06-14 00:00:37,2.181s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_Engine Performance kW_kW""), ""4324"")",Chrome 114.0.0.0,,,2023-06-14 00:00:37,2023-06-14 00:00:38,1.103s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_Date of Manufacture_Date of Manufacture""), """")",Chrome 114.0.0.0,,,2023-06-14 00:00:38,2023-06-14 00:00:39,1.131s,PASSED
"click(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_Date of Manufacture_Date of Manufacture""))",Chrome 114.0.0.0,,,2023-06-14 00:00:39,2023-06-14 00:00:40,0.573s,PASSED
"takeScreenshotAsCheckpoint(""full_view"", CONTINUE_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-14 00:00:40,2023-06-14 00:00:41,0.873s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_Engine Performance kW_kW""), ""2000"")",Chrome 114.0.0.0,,,2023-06-14 00:00:41,2023-06-14 00:00:42,1.113s,PASSED
"setText(findTestObject(""Object Repository/Tricentis Sample App Auto Insurance Automation/Page_Enter Vehicle Data/input_Date of Manufacture_Date of Manufacture""), ""04/04/2020"")",Chrome 114.0.0.0,,,2023-06-14 00:00:42,2023-06-14 00:00:43,1.039s,PASSED
